Bistagno comune,Bistagno comune.1
,
Bistagno – VedutaPiazza Giulio Monteverde,Bistagno – VedutaPiazza Giulio Monteverde
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Roberto Vallegra (lista civica: Bistagno da vivere) dal 27-05-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,44°39′40″N 8°22′17″E
Altitudine,175 m s.l.m.
Superficie,"17,59 km²"
Abitanti,1 688[1] (30-11-2025)
Densità,"95,96 ab./km²"
Frazioni,Roncogennaro
Comuni confinanti,"Castelletto d'Erro, Melazzo, Monastero Bormida (AT), Montabone (AT), Ponti, Rocchetta Palafea (AT), Sessame (AT), Terzo"
Altre informazioni,Altre informazioni
Cod. postale,15012
Prefisso,0144
Fuso orario,UTC+1
Codice ISTAT,006017
Cod. catastale,A889
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 629 GG[3]"
Nome abitanti,bistagnesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Bistagno,Bistagno
Bistagno – MappaPosizione del comune nella provincia di Alessandria,Bistagno – MappaPosizione del comune nella provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
