Castellar Guidobono comune,Castellar Guidobono comune.1
,
Castellar Guidobono – VedutaLa chiesa di San Tommaso,Castellar Guidobono – VedutaLa chiesa di San Tommaso
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Maria Angela Battegazzore (lista civica) dal 14-6-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,44°54′25″N 8°56′56″E
Altitudine,144 m s.l.m.
Superficie,"2,48 km²"
Abitanti,426[1] (30-11-2025)
Densità,"171,77 ab./km²"
Comuni confinanti,"Casalnoceto, Viguzzolo, Volpeglino"
Altre informazioni,Altre informazioni
Cod. postale,15050
Prefisso,0131
Fuso orario,UTC+1
Codice ISTAT,006046
Cod. catastale,C142
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 655 GG[3]"
Nome abitanti,castellaresi
Patrono,san Gaetano di Thiene
Giorno festivo,7 agosto
Cartografia,Cartografia
Castellar Guidobono,Castellar Guidobono
Castellar Guidobono – MappaMappa del comune di Castellar Guidobono all'interno della provincia di Alessandria,Castellar Guidobono – MappaMappa del comune di Castellar Guidobono all'interno della provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
