Cassano Spinola comune,Cassano Spinola comune.1
,
Cassano Spinola – VedutaChiesa parrocchiale di San Pietro,Cassano Spinola – VedutaChiesa parrocchiale di San Pietro
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Alessandro Busseti (lista civica Per un nuovo paese) dal 10-6-2018 (2º mandato dal 15-5-2023)
Territorio,Territorio
Coordinate,44°46′04″N 8°51′58″E
Altitudine,191 m s.l.m.
Superficie,"17,13 km²"
Abitanti,1 800[1] (30-11-2025)
Densità,"105,08 ab./km²"
Frazioni,"Gavazzana, Guacciorna, Santa Maria di Castiglione, Selva"
Comuni confinanti,"Carezzano, Novi Ligure, Pozzolo Formigaro, Sant'Agata Fossili, Sardigliano, Serravalle Scrivia, Stazzano, Villalvernia"
Altre informazioni,Altre informazioni
Cod. postale,15063
Prefisso,0143
Fuso orario,UTC+1
Codice ISTAT,006191
Cod. catastale,M388
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 712 GG[3]"
Nome abitanti,cassanesi
Patrono,san Pietro
Giorno festivo,lunedì dopo la 3ª domenica di settembre
Cartografia,Cartografia
Cassano Spinola,Cassano Spinola
Cassano Spinola – MappaMappa del Comune di Cassano Spinola all'interno della Provincia di Alessandria,Cassano Spinola – MappaMappa del Comune di Cassano Spinola all'interno della Provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
