Sarezzano comune,Sarezzano comune.1
,
Sarezzano – VedutaVeduta di Sarezzano,Sarezzano – VedutaVeduta di Sarezzano
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Carlo Mogni (lista civica) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,44°52′08″N 8°54′51″E
Altitudine,300 m s.l.m.
Superficie,"13,85 km²"
Abitanti,1 101[1] (30-11-2025)
Densità,"79,49 ab./km²"
Frazioni,"Baracca, Cucco, Palazzina, Rocca Grue, San Ruffino, Valle Sant'Innocenzo"
Comuni confinanti,"Berzano di Tortona, Cerreto Grue, Monleale, Montegioco, Tortona, Viguzzolo, Villaromagnano"
Altre informazioni,Altre informazioni
Cod. postale,15050
Prefisso,0131
Fuso orario,UTC+1
Codice ISTAT,006158
Cod. catastale,I432
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 734 GG[3]"
Nome abitanti,sarezzanesi
Patrono,san Ruffino e san Venanzio
Giorno festivo,14 luglio
Cartografia,Cartografia
Sarezzano,Sarezzano
Sarezzano – MappaMappa del Comune di Sarezzano all'interno della Provincia di Alessandria,Sarezzano – MappaMappa del Comune di Sarezzano all'interno della Provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
