Casaleggio Boiro comune,Casaleggio Boiro comune.1
,
Casaleggio Boiro – VedutaIl castello,Casaleggio Boiro – VedutaIl castello
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Alberto Caminati (lista civica) dal 9-6-2024
Territorio,Territorio
Coordinate,44°38′04″N 8°43′53″E
Altitudine,321 m s.l.m.
Superficie,"12,01 km²"
Abitanti,337[1] (30-11-2025)
Densità,"28,06 ab./km²"
Comuni confinanti,"Bosio, Lerma, Montaldeo, Mornese, Tagliolo Monferrato"
Altre informazioni,Altre informazioni
Cod. postale,15070
Prefisso,0143
Fuso orario,UTC+1
Codice ISTAT,006038
Cod. catastale,B882
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 655 GG[3]"
Nome abitanti,casaleggesi
Patrono,Madonna del Carmine
Giorno festivo,16 luglio
Cartografia,Cartografia
Casaleggio Boiro,Casaleggio Boiro
Casaleggio Boiro – MappaMappa del Comune di Casaleggio Boiro all'interno della Provincia di Alessandria,Casaleggio Boiro – MappaMappa del Comune di Casaleggio Boiro all'interno della Provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
