San Sebastiano Curone comune,San Sebastiano Curone comune.1
,
"San Sebastiano Curone – VedutaPiazza Roma, la chiesa di San Sebastiano","San Sebastiano Curone – VedutaPiazza Roma, la chiesa di San Sebastiano"
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Vincenzo Caprile (lista civica Campanile) dal 26-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,44°47′15″N 9°03′57″E
Altitudine,342 m s.l.m.
Superficie,"3,89 km²"
Abitanti,534[1] (30-11-2025)
Densità,"137,28 ab./km²"
Frazioni,"Cascine, Marguata, Sant'Antonio, Telecco[2]"
Comuni confinanti,"Brignano Frascata, Dernice, Gremiasco, Montacuto"
Altre informazioni,Altre informazioni
Cod. postale,15056
Prefisso,0131
Fuso orario,UTC+1
Codice ISTAT,006155
Cod. catastale,I150
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 769 GG[4]"
Nome abitanti,sansebastianesi
Patrono,san Sebastiano
Giorno festivo,20 gennaio
Cartografia,Cartografia
San Sebastiano Curone,San Sebastiano Curone
San Sebastiano Curone – MappaMappa del Comune di San Sebastiano Curone all'interno della Provincia di Alessandria,San Sebastiano Curone – MappaMappa del Comune di San Sebastiano Curone all'interno della Provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
