Ricaldone comune,Ricaldone comune.1
,
Ricaldone – VedutaIl Municipio e il Teatro Umberto I,Ricaldone – VedutaIl Municipio e il Teatro Umberto I
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Laura Graziella Bruna (lista civica) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,44°44′00″N 8°28′09″E
Altitudine,285 m s.l.m.
Superficie,"10,52 km²"
Abitanti,604[1] (30-11-2025)
Densità,"57,41 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Acqui Terme, Alice Bel Colle, Cassine, Maranzana (AT), Mombaruzzo (AT), Quaranti (AT), Strevi"
Altre informazioni,Altre informazioni
Cod. postale,15010
Prefisso,0144
Fuso orario,UTC+1
Codice ISTAT,006143
Cod. catastale,H272
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 722 GG[3]"
Nome abitanti,ricaldonesi
Patrono,santi Simone e Giuda
Giorno festivo,5 agosto
Cartografia,Cartografia
Ricaldone,Ricaldone
Ricaldone – MappaMappa del comune di Ricaldone all'interno della provincia di Alessandria,Ricaldone – MappaMappa del comune di Ricaldone all'interno della provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
