Fabbrica Curone comune,Fabbrica Curone comune.1
,
"Fabbrica Curone – VedutaLa ""piazza"" di Fabbrica Curone, sullo sfondo la pieve di Santa Maria Assunta","Fabbrica Curone – VedutaLa ""piazza"" di Fabbrica Curone, sullo sfondo la pieve di Santa Maria Assunta"
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,"Roberto Deantoni (lista civica ""Uniti per Migliorare"") dal 26-5-2019 (2º mandato dal 9-6-2024)"
Territorio,Territorio
Coordinate,44°45′19″N 9°09′18″E
Altitudine,712 m s.l.m.
Superficie,"53,84 km²"
Abitanti,533[1] (30-11-2025)
Densità,"9,9 ab./km²"
Frazioni,"Brentassi, Bruggi, Ca Bastardini, Caldirola, Ciossa, Costa dei Ferrai, Forotondo, Garadassi, La Gioia, Lunassi, Montecapraro, Morigliassi, Pareto, Pradaglia, Remeneglia, Salogni, Selvapiana, Serra, Ponte del Mulino"
Comuni confinanti,"Albera Ligure, Cabella Ligure, Gremiasco, Montacuto, Santa Margherita di Staffora (PV), Varzi (PV), Zerba (PC)"
Altre informazioni,Altre informazioni
Cod. postale,15054
Prefisso,0131
Fuso orario,UTC+1
Codice ISTAT,006067
Cod. catastale,D447
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 080 GG[3]"
Nome abitanti,fabbricacuronesi
Patrono,santa Maria Assunta
Cartografia,Cartografia
Fabbrica Curone,Fabbrica Curone
Fabbrica Curone – MappaMappa del Comune di Fabbrica Curone all'interno della Provincia di Alessandria,Fabbrica Curone – MappaMappa del Comune di Fabbrica Curone all'interno della Provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
