Cartosio comune,Cartosio comune.1
,
Cartosio – VedutaCartosio in primavera,Cartosio – VedutaCartosio in primavera
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Mario Morena (lista civica) dal 26-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,44°35′28″N 8°25′18″E
Altitudine,230 m s.l.m.
Superficie,"16,34 km²"
Abitanti,714[1] (30-11-2025)
Densità,"43,7 ab./km²"
Frazioni,"Rivere, Saquana"
Comuni confinanti,"Castelletto d'Erro, Cavatore, Malvicino, Melazzo, Montechiaro d'Acqui, Pareto, Ponzone"
Altre informazioni,Altre informazioni
Cod. postale,15015
Prefisso,0144
Fuso orario,UTC+1
Codice ISTAT,006036
Cod. catastale,B847
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 504 GG[3]"
Nome abitanti,cartosiani
Patrono,sant'Andrea
Giorno festivo,30 novembre
Cartografia,Cartografia
Cartosio,Cartosio
Cartosio – MappaMappa del comune di Cartosio all'interno della provincia di Alessandria,Cartosio – MappaMappa del comune di Cartosio all'interno della provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
