Denice comune,Denice comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Fabio Lazzarino (lista civica) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,44°35′59″N 8°20′03″E
Altitudine,387 m s.l.m.
Superficie,"7,46 km²"
Abitanti,161[1] (30-11-2025)
Densità,"21,58 ab./km²"
Frazioni,"Bonini, Buri, Chiazze, Cribattola, Formiera, Gorghi, Marza, Piano Superiore, Poggio, Ratè, Valbella"
Comuni confinanti,"Mombaldone (AT), Monastero Bormida (AT), Montechiaro d'Acqui, Ponti, Roccaverano (AT)"
Altre informazioni,Altre informazioni
Cod. postale,15010
Prefisso,0144
Fuso orario,UTC+1
Codice ISTAT,006065
Cod. catastale,D272
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 807 GG[3]"
Nome abitanti,denicesi
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Denice,Denice
Denice – MappaMappa del Comune di Denice all'interno della Provincia di Alessandria,Denice – MappaMappa del Comune di Denice all'interno della Provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
