Volpedo comune,Volpedo comune.1
,
Volpedo – VedutaVeduta,Volpedo – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Elisa Giardini (lista civica: Il paese) dal 22-9-2020
Territorio,Territorio
Coordinate,44°53′28″N 8°58′58″E
Altitudine,182 m s.l.m.
Superficie,"10,48 km²"
Abitanti,1 133[1] (30-11-2025)
Densità,"108,11 ab./km²"
Frazioni,"Cà Barbieri, Casanova, Cascinetta, Cà Stringa, Croce, Ghilina"
Comuni confinanti,"Casalnoceto, Godiasco Salice Terme (PV), Monleale, Montemarzino, Pozzol Groppo, Volpeglino"
Altre informazioni,Altre informazioni
Cod. postale,15059
Prefisso,0131
Fuso orario,UTC+1
Codice ISTAT,006188
Cod. catastale,M120
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 635 GG[3]"
Nome abitanti,volpedesi
Patrono,Beato Giovannino Costa
Giorno festivo,Penultima domenica di Agosto[4]
Cartografia,Cartografia
Volpedo,Volpedo
Volpedo – MappaMappa del comune di Volpedo all'interno della provincia di Alessandria,Volpedo – MappaMappa del comune di Volpedo all'interno della provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
