Solonghello comune,Solonghello comune.1
,
Solonghello – VedutaVeduta,Solonghello – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Mario Auritano (lista civica) dal 9-6-2024
Territorio,Territorio
Coordinate,45°07′48″N 8°17′03″E
Altitudine,220 m s.l.m.
Superficie,"4,95 km²"
Abitanti,196[1] (30-11-2025)
Densità,"39,6 ab./km²"
Frazioni,Fabiano
Comuni confinanti,"Camino, Mombello Monferrato, Pontestura, Serralunga di Crea"
Altre informazioni,Altre informazioni
Cod. postale,15020
Prefisso,0142
Fuso orario,UTC+1
Codice ISTAT,006164
Cod. catastale,I808
Targa,AL
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 667 GG[3]"
Nome abitanti,solonghellesi
Patrono,sant'Andrea
Giorno festivo,30 novembre
Cartografia,Cartografia
Solonghello,Solonghello
Solonghello – MappaMappa del comune di Solonghello all'interno della provincia di Alessandria,Solonghello – MappaMappa del comune di Solonghello all'interno della provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
