Pecetto di Valenza comune,Pecetto di Valenza comune.1
,
Pecetto di Valenza – VedutaPanorama del paese dai ruderi della torre,Pecetto di Valenza – VedutaPanorama del paese dai ruderi della torre
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Andrea Bortoloni (lista civica) dal 26-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,44°59′27″N 8°40′19″E
Altitudine,212 m s.l.m.
Superficie,"11,35 km²"
Abitanti,1 147[1] (30-11-2025)
Densità,"101,06 ab./km²"
Frazioni,"Gasparini, Molina, Pellizzari"
Comuni confinanti,"Alessandria, Bassignana, Montecastello, Pietra Marazzi, Valenza"
Altre informazioni,Altre informazioni
Cod. postale,15040
Prefisso,0131
Fuso orario,UTC+1
Codice ISTAT,006128
Cod. catastale,G397
Targa,AL
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 657 GG[3]"
Nome abitanti,pecettesi
Giorno festivo,8 settembre
Cartografia,Cartografia
Pecetto di Valenza,Pecetto di Valenza
Pecetto di Valenza – MappaMappa del comune di Pecetto di Valenza all'interno della provincia di Alessandria,Pecetto di Valenza – MappaMappa del comune di Pecetto di Valenza all'interno della provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
