Bozzole comune,Bozzole comune.1
,
Bozzole – VedutaLa chiesa parrocchiale della Visitazione di Maria Vergine,Bozzole – VedutaLa chiesa parrocchiale della Visitazione di Maria Vergine
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Ugo Baldi (lista civica Due spighe di grano) dall'8-6-2009 (4º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°04′15″N 8°36′27″E
Altitudine,91 m s.l.m.
Superficie,"9,02 km²"
Abitanti,344[1] (30-11-2025)
Densità,"38,14 ab./km²"
Comuni confinanti,"Pomaro Monferrato, Sartirana Lomellina (PV), Torre Beretti e Castellaro (PV), Valenza, Valmacca"
Altre informazioni,Altre informazioni
Cod. postale,15040
Prefisso,0142
Fuso orario,UTC+1
Codice ISTAT,006023
Cod. catastale,B109
Targa,AL
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 559 GG[3]"
Nome abitanti,bozzolesi
Patrono,san Gregorio Taumaturgo
Giorno festivo,17 novembre
Cartografia,Cartografia
Bozzole,Bozzole
Bozzole – MappaMappa del Comune di Bozzole all'interno della Provincia di Alessandria,Bozzole – MappaMappa del Comune di Bozzole all'interno della Provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
