Castelletto d'Orba comune,Castelletto d'Orba comune.1
,
Castelletto d'Orba – VedutaPanorama del castello e del sottostante paese,Castelletto d'Orba – VedutaPanorama del castello e del sottostante paese
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Mario Pesce (lista civica Uniti X Castelletto d'Orba) dal 26-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,44°41′08″N 8°42′18″E
Altitudine,200 m s.l.m.
Superficie,"13,98 km²"
Abitanti,1 809[1] (30-11-2025)
Densità,"129,4 ab./km²"
Frazioni,"Bozzolina, Campo della Lepre, Cazzuli, Crebini, Gallaretta, Passaronda, Ravino, Villaggio dell'olmo"
Comuni confinanti,"Capriata d'Orba, Lerma, Montaldeo, Parodi Ligure, San Cristoforo, Silvano d'Orba"
Altre informazioni,Altre informazioni
Cod. postale,15060
Prefisso,0143
Fuso orario,UTC+1
Codice ISTAT,006049
Cod. catastale,C158
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 650 GG[3]"
Nome abitanti,castellettesi
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Castelletto d'Orba,Castelletto d'Orba
Castelletto d'Orba – MappaMappa del comune di Castelletto d'Orba all'interno della provincia di Alessandria,Castelletto d'Orba – MappaMappa del comune di Castelletto d'Orba all'interno della provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
