Rivalta Bormida comune,Rivalta Bormida comune.1
,
Rivalta Bormida – Veduta,Rivalta Bormida – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Claudio Pronzato (lista civica Campanile insieme per Rivalta) dal 31-5-2015 (2º mandato dal 20-9-2020)
Territorio,Territorio
Coordinate,44°42′39″N 8°33′10″E
Altitudine,140 m s.l.m.
Superficie,"10,05 km²"
Abitanti,1 331[1] (30-11-2025)
Densità,"132,44 ab./km²"
Comuni confinanti,"Cassine, Castelnuovo Bormida, Montaldo Bormida, Orsara Bormida, Strevi"
Altre informazioni,Altre informazioni
Cod. postale,15010
Prefisso,0144
Fuso orario,UTC+1
Codice ISTAT,006144
Cod. catastale,H334
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 600 GG[3]"
Nome abitanti,rivaltesi
Patrono,San Domenico
Giorno festivo,4 agosto
Cartografia,Cartografia
Rivalta Bormida,Rivalta Bormida
Rivalta Bormida – MappaMappa del Comune di Rivalta Bormida all'interno della Provincia di Alessandria,Rivalta Bormida – MappaMappa del Comune di Rivalta Bormida all'interno della Provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
