Olivola comune,Olivola comune.1
,
Olivola – VedutaPanorama del paese,Olivola – VedutaPanorama del paese
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Gianmanuele Grossi (lista civica) dal 16-5-2011 (3º mandato dal 3-10-2021)
Territorio,Territorio
Coordinate,45°02′14.6″N 8°22′03.1″E
Altitudine,280 m s.l.m.
Superficie,"2,69 km²"
Abitanti,105[1] (30-11-2025)
Densità,"39,03 ab./km²"
Comuni confinanti,"Casorzo Monferrato (AT), Frassinello Monferrato, Ottiglio, Vignale Monferrato"
Altre informazioni,Altre informazioni
Cod. postale,15030
Prefisso,0142
Fuso orario,UTC+1
Codice ISTAT,006118
Cod. catastale,G042
Targa,AL
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 717 GG[3]"
Nome abitanti,olivolesi
Patrono,san Pietro
Giorno festivo,29 giugno
Cartografia,Cartografia
Olivola,Olivola
Olivola – MappaMappa del comune di Olivola all'interno della provincia di Alessandria,Olivola – MappaMappa del comune di Olivola all'interno della provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
