Odalengo Piccolo comune,Odalengo Piccolo comune.1
,
Odalengo Piccolo – VedutaChiesa di San Pietro,Odalengo Piccolo – VedutaChiesa di San Pietro
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Mirella Panatero (lista civica) dal 26-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°04′21″N 8°12′26″E
Altitudine,289 m s.l.m.
Superficie,"7,57 km²"
Abitanti,209[1] (30-11-2025)
Densità,"27,61 ab./km²"
Frazioni,"Vicinato, Pessine, Palmaro, Case Marco"
Comuni confinanti,"Alfiano Natta, Castelletto Merli, Cerrina Monferrato, Odalengo Grande, Villadeati"
Altre informazioni,Altre informazioni
Cod. postale,15020
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,006117
Cod. catastale,F998
Targa,AL
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 725 GG[3]"
Nome abitanti,odalenghesi
Patrono,san Pietro
Giorno festivo,29 giugno
Cartografia,Cartografia
Odalengo Piccolo,Odalengo Piccolo
Odalengo Piccolo – MappaMappa del Comune di Odalengo Piccolo all'interno della Provincia di Alessandria,Odalengo Piccolo – MappaMappa del Comune di Odalengo Piccolo all'interno della Provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
