Frugarolo comune,Frugarolo comune.1
,
Frugarolo – VedutaLa parrocchiale di San Felice,Frugarolo – VedutaLa parrocchiale di San Felice
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Martino Giovanni Pio Valdenassi (lista civica Obiettivo Frugarolo) dal 26-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,44°50′17″N 8°40′57″E
Altitudine,112 m s.l.m.
Superficie,"27,06 km²"
Abitanti,1 894[1] (30-11-2025)
Densità,"69,99 ab./km²"
Frazioni,"Cabannoni, Mandrino"
Comuni confinanti,"Alessandria, Bosco Marengo, Casal Cermelli, Castellazzo Bormida"
Altre informazioni,Altre informazioni
Cod. postale,15065
Prefisso,0131
Fuso orario,UTC+1
Codice ISTAT,006075
Cod. catastale,D813
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 609 GG[3]"
Nome abitanti,frugarolesi
Patrono,san Felice di Roma
Giorno festivo,29 luglio
Cartografia,Cartografia
Frugarolo,Frugarolo
Frugarolo – MappaMappa del Comune di Frugarolo all'interno della Provincia di Alessandria,Frugarolo – MappaMappa del Comune di Frugarolo all'interno della Provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
