Carpeneto comune,Carpeneto comune.1
,
Carpeneto – Veduta,Carpeneto – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Gerardo Pisaturo (lista civica Amici per Carpeneto) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,44°40′37.93″N 8°36′23.07″E
Altitudine,329 m s.l.m.
Superficie,"13,34 km²"
Abitanti,843[1] (30-11-2025)
Densità,"63,19 ab./km²"
Frazioni,"Cascina Vecchia, Madonna della Villa"
Comuni confinanti,"Montaldo Bormida, Predosa, Rocca Grimalda, Sezzadio, Trisobbio"
Altre informazioni,Altre informazioni
Cod. postale,15071
Prefisso,0143
Fuso orario,UTC+1
Codice ISTAT,006033
Cod. catastale,B818
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 661 GG[3]"
Nome abitanti,carpenetesi
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Carpeneto,Carpeneto
Carpeneto – MappaMappa del Comune di Carpeneto all'interno della Provincia di Alessandria,Carpeneto – MappaMappa del Comune di Carpeneto all'interno della Provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
