Borghetto di Borbera comune,Borghetto di Borbera comune.1
,
"Borghetto di Borbera – VedutaPanorama, particolare delle frazioni di Persi e Torre","Borghetto di Borbera – VedutaPanorama, particolare delle frazioni di Persi e Torre"
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Domenico Franco Angelo Saporito (lista civica Insieme per il comune di Borghetto) dal 9-6-2024
Territorio,Territorio
Coordinate,44°43′49″N 8°56′40″E
Altitudine,295 m s.l.m.
Superficie,"39,4 km²"
Abitanti,1 882[1] (30-11-2025)
Densità,"47,77 ab./km²"
Frazioni,"Castel Ratti, Cerreto di Molo, Cerreto Ratti, Fighetto, Leigozze, Liveto, Molo Borbera, Monteggio, Persi, Rivarossa, Sorli, Torre Ratti"
Comuni confinanti,"Cantalupo Ligure, Dernice, Garbagna, Grondona, Roccaforte Ligure, Sardigliano, Stazzano, Vignole Borbera"
Altre informazioni,Altre informazioni
Cod. postale,15060
Prefisso,0143
Fuso orario,UTC+1
Codice ISTAT,006018
Cod. catastale,A998
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 704 GG[3]"
Nome abitanti,borghettesi
Patrono,San Vittore e Madonna della Neve
Giorno festivo,5 agosto
Cartografia,Cartografia
Borghetto di Borbera,Borghetto di Borbera
Borghetto di Borbera – MappaPosizione del comune nella provincia di Alessandria,Borghetto di Borbera – MappaPosizione del comune nella provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
