Voltaggio comune,Voltaggio comune.1
,
Voltaggio – VedutaPanorama,Voltaggio – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Giuseppe Antonio Canepa (lista civica Voltaggio nel cuore) dal 9-6-2024
Territorio,Territorio
Coordinate,44°37′22″N 8°50′39″E
Altitudine,342 m s.l.m.
Superficie,"52,18 km²"
Abitanti,649[1] (30-11-2025)
Densità,"12,44 ab./km²"
Comuni confinanti,"Arquata Scrivia, Bosio, Campomorone (GE), Carrosio, Fraconalto, Gavi, Isola del Cantone (GE), Mignanego (GE), Ronco Scrivia (GE)"
Altre informazioni,Altre informazioni
Cod. postale,15060
Prefisso,010
Fuso orario,UTC+1
Codice ISTAT,006190
Cod. catastale,M123
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 743 GG[3]"
Nome abitanti,voltaggini
Patrono,san Giovanni Battista De Rossi
Giorno festivo,24 giugno
Cartografia,Cartografia
Voltaggio,Voltaggio
Voltaggio – MappaMappa del comune di Voltaggio all'interno della provincia di Alessandria,Voltaggio – MappaMappa del comune di Voltaggio all'interno della provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
