Castelnuovo Bormida comune,Castelnuovo Bormida comune.1
,
Castelnuovo Bormida – Veduta,Castelnuovo Bormida – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Giovanni Roggero (lista civica) dal 16-5-2011 (3º mandato dal 3-10-2021)
Territorio,Territorio
Coordinate,44°44′37″N 8°32′59″E
Altitudine,123 m s.l.m.
Superficie,"13,11 km²"
Abitanti,634[1] (30-11-2025)
Densità,"48,36 ab./km²"
Comuni confinanti,"Cassine, Rivalta Bormida, Sezzadio"
Altre informazioni,Altre informazioni
Cod. postale,15017
Prefisso,0144
Fuso orario,UTC+1
Codice ISTAT,006052
Cod. catastale,C229
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 585 GG[3]"
Nome abitanti,castelnovesi
Patrono,san Quirico
Giorno festivo,16 luglio
Cartografia,Cartografia
Castelnuovo Bormida,Castelnuovo Bormida
Castelnuovo Bormida – MappaMappa del Comune di Castelnuovo Bormida all'interno della Provincia di Alessandria,Castelnuovo Bormida – MappaMappa del Comune di Castelnuovo Bormida all'interno della Provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
