Spigno Monferrato comune,Spigno Monferrato comune.1
,
Spigno Monferrato – Veduta,Spigno Monferrato – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Walter Astengo (lista civica) dal 9-6-2024
Territorio,Territorio
Coordinate,44°32′39″N 8°20′06″E
Altitudine,217 m s.l.m.
Superficie,"54,86 km²"
Abitanti,890[1] (30-11-2025)
Densità,"16,22 ab./km²"
Frazioni,"Montaldo, Rocchetta, Squaneto, Turpino"
Comuni confinanti,"Dego (SV), Giusvalla (SV), Malvicino, Merana, Mombaldone (AT), Montechiaro d'Acqui, Pareto, Piana Crixia (SV), Roccaverano (AT), Serole (AT)"
Altre informazioni,Altre informazioni
Cod. postale,15018
Prefisso,0144
Fuso orario,UTC+1
Codice ISTAT,006165
Cod. catastale,I901
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 493 GG[3]"
Nome abitanti,spignesi
Patrono,sant'Ambrogio
Giorno festivo,7 dicembre
Cartografia,Cartografia
Spigno Monferrato,Spigno Monferrato
Spigno Monferrato – MappaMappa del comune di Spigno Monferrato all'interno della provincia di Alessandria,Spigno Monferrato – MappaMappa del comune di Spigno Monferrato all'interno della provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
