Montemarzino comune,Montemarzino comune.1
,
Montemarzino – VedutaVeduta,Montemarzino – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Alessandro Davico (lista civica) dal 9-6-2024
Territorio,Territorio
Coordinate,44°50′57″N 8°59′41″E
Altitudine,448 m s.l.m.
Superficie,"9,85 km²"
Abitanti,313[1] (30-11-2025)
Densità,"31,78 ab./km²"
Frazioni,"Barca, Costa, Reguardia, Roncascinate, Scrimignano, Segagliate, Zebedassi"
Comuni confinanti,"Avolasca, Casasco, Momperone, Monleale, Montegioco, Pozzol Groppo, Volpedo"
Altre informazioni,Altre informazioni
Cod. postale,15050
Prefisso,0131
Fuso orario,UTC+1
Codice ISTAT,006108
Cod. catastale,F562
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 945 GG[3]"
Nome abitanti,montemarzinesi
Patrono,Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Montemarzino,Montemarzino
Montemarzino – MappaMappa del Comune di Montemarzino all'interno della Provincia di Alessandria,Montemarzino – MappaMappa del Comune di Montemarzino all'interno della Provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
