Valmacca comune,Valmacca comune.1
,
Valmacca – VedutaIl municipio,Valmacca – VedutaIl municipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Piero Bovio (lista civica) dall'11-6-2017 (2º mandato dal 12-6-2022)
Territorio,Territorio
Coordinate,45°06′04″N 8°35′03″E
Altitudine,97 m s.l.m.
Superficie,"12,29 km²"
Abitanti,968[1] (30-11-2025)
Densità,"78,76 ab./km²"
Frazioni,Rivalba
Comuni confinanti,"Bozzole, Breme (PV), Frassineto Po, Pomaro Monferrato, Sartirana Lomellina (PV), Ticineto"
Altre informazioni,Altre informazioni
Cod. postale,15040
Prefisso,0142
Fuso orario,UTC+1
Codice ISTAT,006178
Cod. catastale,L633
Targa,AL
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 564 GG[3]"
Nome abitanti,valmacchesi
Patrono,Natività della Beata Vergine Maria
Giorno festivo,8 settembre
Cartografia,Cartografia
Valmacca,Valmacca
Valmacca – MappaMappa del comune di Valmacca all'interno della provincia di Alessandria,Valmacca – MappaMappa del comune di Valmacca all'interno della provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
