Alfiano Natta comune,Alfiano Natta comune.1
,
Alfiano Natta – VedutaVeduta su Alfiano Natta dal belvedere,Alfiano Natta – VedutaVeduta su Alfiano Natta dal belvedere
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Marco Pavese (lista civica Noi per Alfano) dal 9-6-2024
Territorio,Territorio
Coordinate,45°02′58″N 8°12′34″E
Altitudine,280 m s.l.m.
Superficie,"13,16 km²"
Abitanti,654[1] (30-11-2025)
Densità,"49,7 ab./km²"
Frazioni,"Cardona, Casarello, Casa Paletti, Sanico"
Comuni confinanti,"Calliano Monferrato (AT), Castelletto Merli, Moncalvo (AT), Odalengo Piccolo, Penango (AT), Tonco (AT), Villadeati"
Altre informazioni,Altre informazioni
Cod. postale,15021
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,006004
Cod. catastale,A189
Targa,AL
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 717 GG[3]"
Nome abitanti,alfianesi
Patrono,san Marziano
Giorno festivo,3 giugno
Cartografia,Cartografia
Alfiano Natta,Alfiano Natta
Alfiano Natta – MappaPosizione del comune nella provincia di Alessandria,Alfiano Natta – MappaPosizione del comune nella provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
