Strevi comune,Strevi comune.1
,
Strevi – Veduta,Strevi – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Alessio Monti (lista civica Strevi nel cuore) dal 25-5-2024 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,44°41′57″N 8°31′22″E
Altitudine,150 m s.l.m.
Superficie,"15,29 km²"
Abitanti,1 943[1] (30-11-2025)
Densità,"127,08 ab./km²"
Comuni confinanti,"Acqui Terme, Cassine, Morsasco, Orsara Bormida, Ricaldone, Rivalta Bormida, Visone"
Altre informazioni,Altre informazioni
Cod. postale,15019
Prefisso,0144
Fuso orario,UTC+1
Codice ISTAT,006168
Cod. catastale,I977
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 608 GG[3]"
Nome abitanti,strevesi
Patrono,San Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Strevi,Strevi
Strevi – MappaMappa del Comune di Strevi all'interno della Provincia di Alessandria,Strevi – MappaMappa del Comune di Strevi all'interno della Provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
