Fubine Monferrato comune,Fubine Monferrato comune.1
,
Fubine Monferrato – VedutaVeduta,Fubine Monferrato – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Lino Pettazzi (lista civica Fubine Porta del Monferrato) dall'11-6-2018 (2º mandato dal 14-5-2023)
Territorio,Territorio
Coordinate,44°57′49″N 8°25′52″E
Altitudine,192 m s.l.m.
Superficie,"25,53 km²"
Abitanti,1 604[1] (30-11-2025)
Densità,"62,83 ab./km²"
Frazioni,"Fugassa, Nani, Vergani"
Comuni confinanti,"Altavilla Monferrato, Felizzano, Lu e Cuccaro Monferrato, Quargnento, Vignale Monferrato"
Altre informazioni,Altre informazioni
Cod. postale,15043
Prefisso,0131
Fuso orario,UTC+1
Codice ISTAT,006076
Cod. catastale,D814
Targa,AL
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 643 GG[3]"
Nome abitanti,fubinesi
Patrono,san Cristoforo
Giorno festivo,26 luglio[4]
Cartografia,Cartografia
Fubine Monferrato,Fubine Monferrato
Fubine Monferrato – MappaMappa del Comune di Fubine all'interno della Provincia di Alessandria,Fubine Monferrato – MappaMappa del Comune di Fubine all'interno della Provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
