Pasturana comune,Pasturana comune.1
,
Pasturana – VedutaAntica pieve di Pasturana,Pasturana – VedutaAntica pieve di Pasturana
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Massimo Subbrero (lista civica Voi con noi per Pasturana) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,44°45′06″N 8°45′01″E
Altitudine,214 m s.l.m.
Superficie,"5,28 km²"
Abitanti,1 262[1] (30-11-2025)
Densità,"239,02 ab./km²"
Comuni confinanti,"Basaluzzo, Francavilla Bisio, Novi Ligure, Tassarolo"
Altre informazioni,Altre informazioni
Cod. postale,15060
Prefisso,0143
Fuso orario,UTC+1
Codice ISTAT,006127
Cod. catastale,G367
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 731 GG[3]"
Nome abitanti,pasturanesi
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Pasturana,Pasturana
Pasturana – MappaMappa del Comune di Pasturana all'interno della Provincia di Alessandria,Pasturana – MappaMappa del Comune di Pasturana all'interno della Provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
