Brignano Frascata comune,Brignano Frascata comune.1
,
Brignano Frascata – Veduta,Brignano Frascata – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Alessandro Davico (lista civica Insieme per Brignano Frascata) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,44°48′50″N 9°02′29″E
Altitudine,288 m s.l.m.
Superficie,"17,53 km²"
Abitanti,419[1] (30-11-2025)
Densità,"23,9 ab./km²"
Frazioni,"Casa Tolone, Cosola, Frascata, Martinasco, Mola, San Giorgio, Selva Inferiore, Selva Superiore, Serra del Monte"
Comuni confinanti,"Casasco, Cecima (PV), Dernice, Garbagna, Gremiasco, Momperone, San Sebastiano Curone"
Altre informazioni,Altre informazioni
Cod. postale,15050
Prefisso,0131
Fuso orario,UTC+1
Codice ISTAT,006024
Cod. catastale,B179
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 724 GG[3]"
Nome abitanti,brignanesi
Patrono,san Giacomo
Giorno festivo,25 luglio
Cartografia,Cartografia
Brignano Frascata,Brignano Frascata
Brignano Frascata – MappaMappa del comune di Brignano Frascata all'interno della provincia di Alessandria,Brignano Frascata – MappaMappa del comune di Brignano Frascata all'interno della provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
