Carbonara Scrivia comune,Carbonara Scrivia comune.1
,
Carbonara Scrivia – Veduta,Carbonara Scrivia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Flaviano Gnudi (lista civica Colombe e torre civica) dal 26-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,44°51′00″N 8°52′15″E
Altitudine,177 m s.l.m.
Superficie,"5,05 km²"
Abitanti,1 110[1] (30-11-2025)
Densità,"219,8 ab./km²"
Comuni confinanti,"Spineto Scrivia, Tortona, Villaromagnano"
Altre informazioni,Altre informazioni
Cod. postale,15050
Prefisso,0131
Fuso orario,UTC+1
Codice ISTAT,006030
Cod. catastale,B736
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 700 GG[3]"
Nome abitanti,carbonaresi
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Carbonara Scrivia,Carbonara Scrivia
Carbonara Scrivia – MappaMappa del comune di Carbonara Scrivia all'interno della provincia di Alessandria,Carbonara Scrivia – MappaMappa del comune di Carbonara Scrivia all'interno della provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
