Spineto Scrivia comune,Spineto Scrivia comune.1
,
Spineto Scrivia – VedutaLa chiesa parrocchiale di San Giacomo Apostolo (XIX secolo),Spineto Scrivia – VedutaLa chiesa parrocchiale di San Giacomo Apostolo (XIX secolo)
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Artana Giuseppe (lista civica) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,44°50′18″N 8°52′29″E
Altitudine,265 m s.l.m.
Superficie,"3,95 km²"
Abitanti,356[1] (30-11-2025)
Densità,"90,13 ab./km²"
Frazioni,"Cascina Marianna, Pozzo, Valpiria"
Comuni confinanti,"Carbonara Scrivia, Paderna, Tortona, Villaromagnano"
Altre informazioni,Altre informazioni
Cod. postale,15050
Prefisso,0131
Fuso orario,UTC+1
Codice ISTAT,006166
Cod. catastale,I911
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 701 GG[3]"
Nome abitanti,spinetesi
Patrono,san Giacomo apostolo
Giorno festivo,25 luglio
Cartografia,Cartografia
Spineto Scrivia,Spineto Scrivia
Spineto Scrivia – MappaMappa del comune di Spineto Scrivia all'interno della provincia di Alessandria,Spineto Scrivia – MappaMappa del comune di Spineto Scrivia all'interno della provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
