Terzo comune,Terzo comune.1
,
Terzo – VedutaVeduta di Terzo dalla frazione Terzo stazione,Terzo – VedutaVeduta di Terzo dalla frazione Terzo stazione
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Maurizio Solferini (lista civica) dal 3-10-2021
Territorio,Territorio
Coordinate,44°40′17″N 8°25′22″E
Altitudine,222 m s.l.m.
Superficie,"8,8 km²"
Abitanti,821[1] (30-11-2025)
Densità,"93,3 ab./km²"
Comuni confinanti,"Acqui Terme, Bistagno, Melazzo, Montabone (AT)"
Altre informazioni,Altre informazioni
Cod. postale,15010
Prefisso,0144
Fuso orario,UTC+1
Codice ISTAT,006172
Cod. catastale,L143
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 669 GG[3]"
Nome abitanti,terzesi
Patrono,san Maurizio martire
Giorno festivo,22 settembre
Cartografia,Cartografia
Terzo,Terzo
Terzo – MappaMappa del comune di Terzo all'interno della provincia di Alessandria,Terzo – MappaMappa del comune di Terzo all'interno della provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
