Quattordio comune,Quattordio comune.1
,
Quattordio – VedutaPalazzo Olivazzi,Quattordio – VedutaPalazzo Olivazzi
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Anna Margherita Venezia (lista civica) dal 9-6-2024
Territorio,Territorio
Coordinate,44°53′50″N 8°24′22″E
Altitudine,135 m s.l.m.
Superficie,"17,73 km²"
Abitanti,1 427[1] (30-11-2025)
Densità,"80,49 ab./km²"
Frazioni,"Piepasso, Serra"
Comuni confinanti,"Castello di Annone (AT), Cerro Tanaro (AT), Felizzano, Masio, Refrancore (AT), Viarigi (AT)"
Altre informazioni,Altre informazioni
Cod. postale,15028
Prefisso,0131
Fuso orario,UTC+1
Codice ISTAT,006142
Cod. catastale,H121
Targa,AL
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 596 GG[3]"
Nome abitanti,Quattordiesi
Patrono,santi Pietro e Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Quattordio,Quattordio
Quattordio – MappaMappa del Comune di Quattordio all'interno della Provincia di Alessandria,Quattordio – MappaMappa del Comune di Quattordio all'interno della Provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
