Castellazzo Bormida comune,Castellazzo Bormida comune.1
,
Castellazzo Bormida – VedutaLa chiesa di San Martino,Castellazzo Bormida – VedutaLa chiesa di San Martino
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Gianfranco Ferraris (lista civica Ferraris Gianfranco detto Gil) dal 6-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,44°50′46″N 8°34′42″E
Altitudine,104 m s.l.m.
Superficie,"45,13 km²"
Abitanti,4 523[1] (30-11-2025)
Densità,"100,22 ab./km²"
Frazioni,"Fontanasse, Rampina"
Comuni confinanti,"Alessandria, Borgoratto Alessandrino, Casal Cermelli, Castelspina, Frascaro, Frugarolo, Gamalero, Oviglio, Predosa"
Altre informazioni,Altre informazioni
Cod. postale,15073
Prefisso,0131
Fuso orario,UTC+1
Codice ISTAT,006047
Cod. catastale,C148
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 567 GG[3]"
Nome abitanti,castellazzesi
Patrono,Santo Stefano
Giorno festivo,il martedì dopo la III domenica di settembre
Cartografia,Cartografia
Castellazzo Bormida,Castellazzo Bormida
Castellazzo Bormida – MappaMappa del Comune di Castellazzo Bormida all'interno della Provincia di Alessandria,Castellazzo Bormida – MappaMappa del Comune di Castellazzo Bormida all'interno della Provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
