Alessandria comune,Alessandria comune.1
,
Alessandria – VedutaVeduta aerea della città di Alessandria entro il circuito degli spalti,Alessandria – VedutaVeduta aerea della città di Alessandria entro il circuito degli spalti
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Giorgio Abonante (PD) dal 27-6-2022[1]
Data di istituzione,1198
Territorio,Territorio
Coordinate,44°54′48″N 8°37′12″E
Altitudine,95 m s.l.m.
Superficie,"203,57 km²"
Abitanti,93 323[2] (30-11-2025)
Densità,"458,43 ab./km²"
Frazioni,"14, si veda sezione"
Comuni confinanti,"Alluvioni Piovera, Bosco Marengo, Castellazzo Bormida, Castelletto Monferrato, Frugarolo, Montecastello, Oviglio, Pecetto di Valenza, Pietra Marazzi, Quargnento, Sale, San Salvatore Monferrato, Solero, Tortona, Valenza"
Altre informazioni,Altre informazioni
Cod. postale,15121–15122
Prefisso,0131
Fuso orario,UTC+1
Codice ISTAT,006003
Cod. catastale,A182
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 559 GG[4]"
Nome abitanti,alessandrini
Patrono,Madonna della Salve san Baudolino (Sòn Baudulen)
Giorno festivo,10 novembre
Soprannome,La città dei cappelli
Motto,Deprimit Elatos Levat Alexandria Stratos
Cartografia,Cartografia
Alessandria – Localizzazione,Alessandria – Localizzazione
"Alessandria – MappaSuddivisione del territorio comunale in circoscrizioni, frazioni e quartieri","Alessandria – MappaSuddivisione del territorio comunale in circoscrizioni, frazioni e quartieri"
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
