Orsara Bormida comune,Orsara Bormida comune.1
,
Orsara Bormida – Veduta,Orsara Bormida – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Stefano Rossi (lista civica) dal 25-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,44°41′25″N 8°33′45″E
Altitudine,220 m s.l.m.
Superficie,"5,1 km²"
Abitanti,380[1] (30-11-2025)
Densità,"74,51 ab./km²"
Frazioni,"Moglia, Piano, San Quirico, Uvallare"
Comuni confinanti,"Montaldo Bormida, Morsasco, Rivalta Bormida, Strevi, Trisobbio"
Altre informazioni,Altre informazioni
Cod. postale,15010
Prefisso,0144
Fuso orario,UTC+1
Codice ISTAT,006119
Cod. catastale,G124
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 667 GG[3]"
Nome abitanti,orsaresi
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Orsara Bormida,Orsara Bormida
Orsara Bormida – MappaMappa del Comune di Orsara Bormida all'interno della Provincia di Alessandria,Orsara Bormida – MappaMappa del Comune di Orsara Bormida all'interno della Provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
