San Giorgio Monferrato comune,San Giorgio Monferrato comune.1
,
San Giorgio Monferrato – VedutaComune di San Giorgio Monferrato,San Giorgio Monferrato – VedutaComune di San Giorgio Monferrato
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Paolo Marchisio (lista civica) dal 9-6-2024
Territorio,Territorio
Coordinate,45°06′27.67″N 8°24′47″E
Altitudine,281 m s.l.m.
Superficie,"7,12 km²"
Abitanti,1 210[1] (30-11-2025)
Densità,"169,94 ab./km²"
Frazioni,"Cascinotti, Chiabotto"
Comuni confinanti,"Casale Monferrato, Ozzano Monferrato, Rosignano Monferrato"
Altre informazioni,Altre informazioni
Cod. postale,15020
Prefisso,0142
Fuso orario,UTC+1
Codice ISTAT,006153
Cod. catastale,H878
Targa,AL
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 718 GG[3]"
Nome abitanti,sangiorgesi
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
San Giorgio Monferrato,San Giorgio Monferrato
San Giorgio Monferrato – MappaMappa del comune di San Giorgio Monferrato all'interno della provincia di Alessandria,San Giorgio Monferrato – MappaMappa del comune di San Giorgio Monferrato all'interno della provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
