Cantalupo Ligure comune,Cantalupo Ligure comune.1
,
Cantalupo Ligure – VedutaPanorama,Cantalupo Ligure – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Pierluigi Debenedetti (lista civica Insieme per continuare) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,44°43′00″N 9°02′46″E
Altitudine,383 m s.l.m.
Superficie,"24,06 km²"
Abitanti,432[1] (30-11-2025)
Densità,"17,96 ab./km²"
Frazioni,"Arborelle, Besante, Borgo Adorno, Campana, Costa Merlassino, Colonne, Merlassino, Pallavicino, Pertuso, Pessinate, Prato, Semega, Strappasese, Zebedassi"
Comuni confinanti,"Albera Ligure, Borghetto di Borbera, Dernice, Montacuto, Roccaforte Ligure, Rocchetta Ligure"
Altre informazioni,Altre informazioni
Cod. postale,15060
Prefisso,0143
Fuso orario,UTC+1
Codice ISTAT,006028
Cod. catastale,B629
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 778 GG[3]"
Nome abitanti,cantalupesi
Patrono,Madonna del Carmelo
Giorno festivo,16 luglio
Cartografia,Cartografia
Cantalupo Ligure,Cantalupo Ligure
Cantalupo Ligure – MappaMappa del Comune di Cantalupo Ligure all'interno della Provincia di Alessandria,Cantalupo Ligure – MappaMappa del Comune di Cantalupo Ligure all'interno della Provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
