Rocchetta Ligure comune,Rocchetta Ligure comune.1
,
Rocchetta Ligure – Veduta,Rocchetta Ligure – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Fabio Cogo (lista civica Noi per voi) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,44°42′27″N 9°03′05″E
Altitudine,390 m s.l.m.
Superficie,"10,15 km²"
Abitanti,223[1] (30-11-2025)
Densità,"21,97 ab./km²"
Frazioni,"Bregni Inferiore, Bregni Superiore, Celio, Pagliaro Inferiore, Pagliaro Superiore, Piani di Celio, Sant'Ambrogio, Sisola"
Comuni confinanti,"Albera Ligure, Cabella Ligure, Cantalupo Ligure, Mongiardino Ligure, Roccaforte Ligure"
Altre informazioni,Altre informazioni
Cod. postale,15060
Prefisso,0143
Fuso orario,UTC+1
Codice ISTAT,006148
Cod. catastale,H465
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 784 GG[3]"
Nome abitanti,rocchettini
Patrono,sant'Anna
Giorno festivo,26 luglio
Cartografia,Cartografia
Rocchetta Ligure,Rocchetta Ligure
Rocchetta Ligure – MappaMappa del Comune di Rocchetta Ligure all'interno della Provincia di Alessandria,Rocchetta Ligure – MappaMappa del Comune di Rocchetta Ligure all'interno della Provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
