Cella Monte comune,Cella Monte comune.1
,
Cella Monte – VedutaPanorama del paese,Cella Monte – VedutaPanorama del paese
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Maurizio Deevasis dal 6-5-2016 (2º mandato dal 3-10-2021)
Territorio,Territorio
Coordinate,45°04′30″N 8°23′33″E
Altitudine,268 m s.l.m.
Superficie,"5,55 km²"
Abitanti,446[1] (30-11-2025)
Densità,"80,36 ab./km²"
Frazioni,Coppi
Comuni confinanti,"Frassinello Monferrato, Ottiglio, Ozzano Monferrato, Rosignano Monferrato, Sala Monferrato"
Altre informazioni,Altre informazioni
Cod. postale,15034
Prefisso,0142
Fuso orario,UTC+1
Codice ISTAT,006056
Cod. catastale,C432
Targa,AL
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 707 GG[3]"
Nome abitanti,cellesi
Patrono,San Quirico e santa Giulitta
Giorno festivo,16 luglio
Cartografia,Cartografia
Cella Monte,Cella Monte
Cella Monte – MappaMappa del Comune di Cella Monte all'interno della Provincia di Alessandria,Cella Monte – MappaMappa del Comune di Cella Monte all'interno della Provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
