Pontecurone comune,Pontecurone comune.1
,
Pontecurone – VedutaVeduta,Pontecurone – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Giovanni Valentino D'Amico (lista civica) dal 4-10-2021
Territorio,Territorio
Coordinate,44°57′40″N 8°56′06″E
Altitudine,104 m s.l.m.
Superficie,"29,7 km²"
Abitanti,3 561[1] (30-11-2025)
Densità,"119,9 ab./km²"
Comuni confinanti,"Casalnoceto, Casei Gerola (PV), Castelnuovo Scrivia, Rivanazzano Terme (PV), Tortona, Viguzzolo, Voghera (PV)"
Altre informazioni,Altre informazioni
Cod. postale,15055
Prefisso,0131
Fuso orario,UTC+1
Codice ISTAT,006132
Cod. catastale,G839
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 646 GG[3]"
Nome abitanti,pontecuronesi
Giorno festivo,Terza domenica di Luglio[non chiaro]
Cartografia,Cartografia
Pontecurone,Pontecurone
Pontecurone – MappaMappa del comune di Pontecurone all'interno della provincia di Alessandria,Pontecurone – MappaMappa del comune di Pontecurone all'interno della provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
