Sant'Agata Fossili comune,Sant'Agata Fossili comune.1
,
Sant'Agata Fossili – VedutaChiesa di Sant'Agata,Sant'Agata Fossili – VedutaChiesa di Sant'Agata
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Diego Camatti (lista civica Uniti per Sant'Agata) dal 6-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,44°47′09″N 8°55′20″E
Altitudine,425 m s.l.m.
Superficie,"7,71 km²"
Abitanti,341[1] (30-11-2025)
Densità,"44,23 ab./km²"
Frazioni,"Giusolana, Podigliano, Torre Sterpi"
Comuni confinanti,"Carezzano, Cassano Spinola, Castellania Coppi, Sardigliano"
Altre informazioni,Altre informazioni
Cod. postale,15050
Prefisso,0131
Fuso orario,UTC+1
Codice ISTAT,006156
Cod. catastale,I190
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 926 GG[3]"
Nome abitanti,santagatesi
Patrono,sant'Agata
Giorno festivo,5 febbraio
Cartografia,Cartografia
Sant'Agata Fossili,Sant'Agata Fossili
Sant'Agata Fossili – MappaMappa del Comune di Sant'Agata Fossilli all'interno della Provincia di Alessandria,Sant'Agata Fossili – MappaMappa del Comune di Sant'Agata Fossilli all'interno della Provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
