Moncestino comune,Moncestino comune.1
,
Moncestino – VedutaParrocchiale dell'Assunta,Moncestino – VedutaParrocchiale dell'Assunta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Bruno Poles (lista civica) dal 22-9-2020
Territorio,Territorio
Coordinate,45°09′17.14″N 8°09′41.12″E
Altitudine,287 m s.l.m.
Superficie,"6,52 km²"
Abitanti,193[1] (30-11-2025)
Densità,"29,6 ab./km²"
Frazioni,"Cignaretto, Coggia, Ganoia, Piagera, Seminenga[2]"
Comuni confinanti,"Crescentino (VC), Fontanetto Po (VC), Gabiano, Verrua Savoia (TO), Villamiroglio"
Altre informazioni,Altre informazioni
Cod. postale,15020
Prefisso,0142
Fuso orario,UTC+1
Codice ISTAT,006099
Cod. catastale,F337
Targa,AL
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 723 GG[4]"
Nome abitanti,moncestinesi
Patrono,Maria Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Moncestino,Moncestino
Moncestino – MappaMappa del Comune di Moncestino all'interno della Provincia di Alessandria,Moncestino – MappaMappa del Comune di Moncestino all'interno della Provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
