Tassarolo comune,Tassarolo comune.1
,
Tassarolo – VedutaIl municipio,Tassarolo – VedutaIl municipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Claudio Pernumian (lista civica Insieme per Tassarolo) dal 9-6-2024
Territorio,Territorio
Coordinate,44°43′46″N 8°46′21″E
Altitudine,250 m s.l.m.
Superficie,"7,04 km²"
Abitanti,594[1] (30-11-2025)
Densità,"84,38 ab./km²"
Frazioni,"Alborina, Cavallari, Ortolana"
Comuni confinanti,"Francavilla Bisio, Gavi, Novi Ligure, Pasturana"
Altre informazioni,Altre informazioni
Cod. postale,15060
Prefisso,0143
Fuso orario,UTC+1
Codice ISTAT,006170
Cod. catastale,L059
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 692 GG[3]"
Nome abitanti,tassarolesi
Patrono,Madonnina di sant'Ambrogio
Giorno festivo,seconda domenica di settembre
Cartografia,Cartografia
Tassarolo,Tassarolo
Tassarolo – MappaMappa del Comune di Tassarolo all'interno della Provincia di Alessandria,Tassarolo – MappaMappa del Comune di Tassarolo all'interno della Provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
