Montecastello comune,Montecastello comune.1
,
Montecastello – VedutaVeduta del capoluogo,Montecastello – VedutaVeduta del capoluogo
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Gianluca Penna (lista civica) dal 16-5-2011 (3º mandato dal 3-10-2021)
Territorio,Territorio
Coordinate,44°56′58.03″N 8°41′08.67″E
Altitudine,116 m s.l.m.
Superficie,"7,49 km²"
Abitanti,272[1] (30-11-2025)
Densità,"36,32 ab./km²"
Frazioni,"San Bernardo, San Zeno"
Comuni confinanti,"Alessandria, Alluvioni Piovera, Bassignana, Pecetto di Valenza, Pietra Marazzi, Rivarone"
Altre informazioni,Altre informazioni
Cod. postale,15040
Prefisso,0131
Fuso orario,UTC+1
Codice ISTAT,006105
Cod. catastale,F455
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 577 GG[3]"
Nome abitanti,montecastellesi
Patrono,"San Rocco, Maria Assunta in cielo"
Giorno festivo,16 agosto
Cartografia,Cartografia
Montecastello,Montecastello
Montecastello – MappaMappa del comune di Montecastello all'interno della provincia di Alessandria,Montecastello – MappaMappa del comune di Montecastello all'interno della provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
