Mornese comune,Mornese comune.1
,
Mornese – VedutaPanorama,Mornese – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Simone Pestarino (lista civica Mornese insieme) dal 26-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,44°38′25″N 8°45′26″E
Altitudine,380 m s.l.m.
Superficie,"13,22 km²"
Abitanti,668[1] (30-11-2025)
Densità,"50,53 ab./km²"
Frazioni,Mazzarelli e Nucleo Benefizi
Comuni confinanti,"Bosio, Casaleggio Boiro, Montaldeo, Parodi Ligure"
Altre informazioni,Altre informazioni
Cod. postale,15075
Prefisso,0143
Fuso orario,UTC+1
Codice ISTAT,006111
Cod. catastale,F737
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 801 GG[3]"
Nome abitanti,mornesini
Patrono,san Nicola da Tolentino
Giorno festivo,10 settembre
Cartografia,Cartografia
Mornese,Mornese
Mornese – MappaMappa del Comune di Mornese all'interno della Provincia di Alessandria,Mornese – MappaMappa del Comune di Mornese all'interno della Provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
