Trisobbio comune,Trisobbio comune.1
,
Trisobbio – Veduta,Trisobbio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Marco Giovanni Comaschi (lista civica) dall'8-6-2009 (4º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,44°39′45″N 8°35′14″E
Altitudine,341 m s.l.m.
Superficie,"9,22 km²"
Abitanti,624[1] (30-11-2025)
Densità,"67,68 ab./km²"
Frazioni,Villa Botteri
Comuni confinanti,"Carpeneto, Cremolino, Montaldo Bormida, Morsasco, Orsara Bormida, Ovada, Rocca Grimalda"
Altre informazioni,Altre informazioni
Cod. postale,15070
Prefisso,0143
Fuso orario,UTC+1
Codice ISTAT,006176
Cod. catastale,L432
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 671 GG[3]"
Nome abitanti,trisobbiesi
Patrono,Maria Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Trisobbio,Trisobbio
Trisobbio – MappaMappa del Comune di Trisobbio all'interno della Provincia di Alessandria,Trisobbio – MappaMappa del Comune di Trisobbio all'interno della Provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
