Castellania Coppi comune,Castellania Coppi comune.1
,
Castellania Coppi – VedutaMunicipio,Castellania Coppi – VedutaMunicipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Giovanni Gugliada (lista civica) dal 9-6-2024
Territorio,Territorio
Coordinate,44°47′58″N 8°55′53″E
Altitudine,400 m s.l.m.
Superficie,"7,21 km²"
Abitanti,85[1] (30-11-2025)
Densità,"11,79 ab./km²"
Frazioni,"Mossabella, San Alosio, San Andrea"
Comuni confinanti,"Avolasca, Carezzano, Costa Vescovato, Garbagna, Sant'Agata Fossili, Sardigliano"
Altre informazioni,Altre informazioni
Cod. postale,15051
Prefisso,0131
Fuso orario,UTC+1
Codice ISTAT,006045
Cod. catastale,C137
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 818 GG[3]"
Nome abitanti,castellanesi
Patrono,san Biagio
Giorno festivo,3 febbraio
Cartografia,Cartografia
Castellania Coppi,Castellania Coppi
Castellania Coppi – MappaMappa del Comune di Castellania Coppi all'interno della Provincia di Alessandria,Castellania Coppi – MappaMappa del Comune di Castellania Coppi all'interno della Provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
