Carentino comune,Carentino comune.1
,
Carentino – VedutaPalazzo Municipale,Carentino – VedutaPalazzo Municipale
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Silvia Barbara Celoria (lista civica) dal 25-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,44°49′47″N 8°28′21″E
Altitudine,160 m s.l.m.
Superficie,"9,79 km²"
Abitanti,309[1] (30-11-2025)
Densità,"31,56 ab./km²"
Comuni confinanti,"Bergamasco, Borgoratto Alessandrino, Bruno (AT), Frascaro, Gamalero, Mombaruzzo (AT), Oviglio"
Altre informazioni,Altre informazioni
Cod. postale,15026
Prefisso,0131
Fuso orario,UTC+1
Codice ISTAT,006031
Cod. catastale,B765
Targa,AL
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 617 GG[3]"
Nome abitanti,carentinesi
Patrono,santa Maria Assunta
Cartografia,Cartografia
Carentino,Carentino
Carentino – MappaMappa del Comune di Carentino all'interno della Provincia di Alessandria,Carentino – MappaMappa del Comune di Carentino all'interno della Provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
