Occimiano comune,Occimiano comune.1
,
Occimiano – VedutaIl municipio,Occimiano – VedutaIl municipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Sandro Deambrosis (lista civica) dal 9-6-2024
Territorio,Territorio
Coordinate,45°03′40″N 8°30′31″E
Altitudine,107 m s.l.m.
Superficie,"22,46 km²"
Abitanti,1 195[1] (30-11-2025)
Densità,"53,21 ab./km²"
Comuni confinanti,"Borgo San Martino, Casale Monferrato, Conzano, Giarole, Lu e Cuccaro Monferrato, Mirabello Monferrato, Pomaro Monferrato"
Altre informazioni,Altre informazioni
Cod. postale,15040
Prefisso,0142
Fuso orario,UTC+1
Codice ISTAT,006115
Cod. catastale,F995
Targa,AL
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 572 GG[3]"
Nome abitanti,occimianesi
Patrono,san Valerio
Giorno festivo,22 gennaio
Cartografia,Cartografia
Occimiano,Occimiano
Occimiano – MappaMappa del comune di Occimiano all'interno della provincia di Alessandria,Occimiano – MappaMappa del comune di Occimiano all'interno della provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
