Mombello Monferrato comune,Mombello Monferrato comune.1
,
Mombello Monferrato – VedutaChiesa parrocchiale di San Bononio nella frazione di Pozzengo.,Mombello Monferrato – VedutaChiesa parrocchiale di San Bononio nella frazione di Pozzengo.
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Daniele Caretti (lista civica Obiettivi in comune) dal 9-6-2024
Territorio,Territorio
Coordinate,45°08′02″N 8°15′05″E
Altitudine,273 m s.l.m.
Superficie,"19,69 km²"
Abitanti,892[1] (30-11-2025)
Densità,"45,3 ab./km²"
Frazioni,"Casalino, Gaminella, Ilengo, Morsingo, Pozzengo, Zenevreto"
Comuni confinanti,"Camino, Castelletto Merli, Cerrina Monferrato, Gabiano, Ponzano Monferrato, Serralunga di Crea, Solonghello"
Altre informazioni,Altre informazioni
Cod. postale,15020
Prefisso,0142
Fuso orario,UTC+1
Codice ISTAT,006097
Cod. catastale,F313
Targa,AL
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 711 GG[3]"
Nome abitanti,mombellesi
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Mombello Monferrato,Mombello Monferrato
Mombello Monferrato – MappaMappa del comune di Mombello Monferrato all'interno della provincia di Alessandria,Mombello Monferrato – MappaMappa del comune di Mombello Monferrato all'interno della provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
