Lerma comune,Lerma comune.1
,
Lerma – VedutaPanorama,Lerma – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Bruno Aloisio (lista civica) dall'8-6-2009 (4º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,44°38′13″N 8°42′59″E
Altitudine,293 m s.l.m.
Superficie,"14,54 km²"
Abitanti,801[1] (30-11-2025)
Densità,"55,09 ab./km²"
Frazioni,"Mascatagliata, Cà D'Abramo"
Comuni confinanti,"Bosio, Casaleggio Boiro, Castelletto d'Orba, Montaldeo, Silvano d'Orba, Tagliolo Monferrato"
Altre informazioni,Altre informazioni
Cod. postale,15070
Prefisso,0143
Fuso orario,UTC+1
Codice ISTAT,006088
Cod. catastale,E543
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 631 GG[3]"
Nome abitanti,lermesi
Patrono,san Giovanni Battista
Cartografia,Cartografia
Lerma,Lerma
Lerma – MappaMappa del Comune di Lerma all'interno della Provincia di Alessandria,Lerma – MappaMappa del Comune di Lerma all'interno della Provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
