Rocca Grimalda comune,Rocca Grimalda comune.1
,
Rocca Grimalda – VedutaVeduta,Rocca Grimalda – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,"Vincenzo Cacciola (lista civica ""Tradizione per il futuro"") dal 21-9-2020"
Territorio,Territorio
Coordinate,44°40′21″N 8°38′58″E
Altitudine,284 m s.l.m.
Superficie,"15,46 km²"
Abitanti,1 395[1] (30-11-2025)
Densità,"90,23 ab./km²"
Frazioni,San Giacomo
Comuni confinanti,"Capriata d'Orba, Carpeneto, Ovada, Predosa, Silvano d'Orba, Trisobbio"
Altre informazioni,Altre informazioni
Cod. postale,15078
Prefisso,0143
Fuso orario,UTC+1
Codice ISTAT,006147
Cod. catastale,H414
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 620 GG[3]"
Nome abitanti,rocchesi
Patrono,san Giacomo
Giorno festivo,25 luglio
Cartografia,Cartografia
Rocca Grimalda,Rocca Grimalda
Rocca Grimalda – MappaMappa del Comune di Rocca Grimalda all'interno della Provincia di Alessandria,Rocca Grimalda – MappaMappa del Comune di Rocca Grimalda all'interno della Provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
