Frassineto Po comune,Frassineto Po comune.1
,
Frassineto Po – VedutaChiesa della Madonna degli Angeli,Frassineto Po – VedutaChiesa della Madonna degli Angeli
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Andrea Serrao (lista civica) dal 12-6-2022
Territorio,Territorio
Coordinate,45°08′05″N 8°32′07″E
Altitudine,104 m s.l.m.
Superficie,"29,57 km²"
Abitanti,1 338[1] (30-11-2025)
Densità,"45,25 ab./km²"
Comuni confinanti,"Borgo San Martino, Breme (PV), Candia Lomellina (PV), Casale Monferrato, Ticineto, Valmacca"
Altre informazioni,Altre informazioni
Cod. postale,15040
Prefisso,0142
Fuso orario,UTC+1
Codice ISTAT,006073
Cod. catastale,D780
Targa,AL
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 804 GG[3]"
Nome abitanti,frassinetesi
Giorno festivo,7 dicembre
Cartografia,Cartografia
Frassineto Po,Frassineto Po
Frassineto Po – MappaMappa del comune di Frassineto Po all'interno della provincia di Alessandria,Frassineto Po – MappaMappa del comune di Frassineto Po all'interno della provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
