Parodi Ligure comune,Parodi Ligure comune.1
,
Parodi Ligure – VedutaIl centro storico,Parodi Ligure – VedutaIl centro storico
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Ivo Giacomo Gualco (lista civica Uniti per Parodi) dal 9-6-2024
Territorio,Territorio
Coordinate,44°40′15″N 8°45′35″E
Altitudine,330 m s.l.m.
Superficie,"12,54 km²"
Abitanti,591[1] (30-11-2025)
Densità,"47,13 ab./km²"
Frazioni,"Cadegualchi, Cadepiaggio, Cadimassa, Tramontana, Tramontanino"
Comuni confinanti,"Bosio, Castelletto d'Orba, Gavi, Montaldeo, Mornese, San Cristoforo"
Altre informazioni,Altre informazioni
Cod. postale,15060
Prefisso,0143
Fuso orario,UTC+1
Codice ISTAT,006126
Cod. catastale,G338
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 662 GG[3]"
Nome abitanti,parodesi
Giorno festivo,16 agosto
Cartografia,Cartografia
Parodi Ligure,Parodi Ligure
Parodi Ligure – MappaMappa del comune di Parodi Ligure all'interno della provincia di Alessandria,Parodi Ligure – MappaMappa del comune di Parodi Ligure all'interno della provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
