Sardigliano comune,Sardigliano comune.1
,
Sardigliano – Veduta,Sardigliano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Gian Carlo Piella (lista civica Insieme per la valle) dal 9-6-2024
Territorio,Territorio
Coordinate,44°45′14″N 8°54′23″E
Altitudine,210 m s.l.m.
Superficie,"12,74 km²"
Abitanti,374[1] (30-11-2025)
Densità,"29,36 ab./km²"
Frazioni,"Bavantore, Bavantorino, Cuquello, Malvino"
Comuni confinanti,"Borghetto di Borbera, Cassano Spinola, Castellania Coppi, Garbagna, Sant'Agata Fossili, Stazzano"
Altre informazioni,Altre informazioni
Cod. postale,15060
Prefisso,0143
Fuso orario,UTC+1
Codice ISTAT,006157
Cod. catastale,I429
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 774 GG[3]"
Nome abitanti,Sardiglianesi
Patrono,San Secondo
Giorno festivo,20 agosto
Cartografia,Cartografia
Sardigliano,Sardigliano
Sardigliano – MappaMappa del Comune di Sardigliano all'interno della Provincia di Alessandria,Sardigliano – MappaMappa del Comune di Sardigliano all'interno della Provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
