Pozzolo Formigaro comune,Pozzolo Formigaro comune.1
,
"Pozzolo Formigaro – VedutaIl castello medievale, sede del municipio","Pozzolo Formigaro – VedutaIl castello medievale, sede del municipio"
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Domenico Miloscio (lista civica Rinnovamento per Pozzolo) dal 26-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,44°47′46″N 8°47′09″E
Altitudine,171 m s.l.m.
Superficie,"36,18 km²"
Abitanti,4 556[1] (30-11-2025)
Densità,"125,93 ab./km²"
Frazioni,Bettole di Pozzolo
Comuni confinanti,"Bosco Marengo, Cassano Spinola, Novi Ligure, Tortona, Villalvernia"
Altre informazioni,Altre informazioni
Cod. postale,15068
Prefisso,0143
Fuso orario,UTC+1
Codice ISTAT,006138
Cod. catastale,G961
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 695 GG[3]"
Nome abitanti,pozzolesi
Patrono,san Sebastiano
Giorno festivo,20 gennaio
Cartografia,Cartografia
Pozzolo Formigaro,Pozzolo Formigaro
Pozzolo Formigaro – MappaMappa del Comune di Pozzolo Formigaro all'interno della Provincia di Alessandria,Pozzolo Formigaro – MappaMappa del Comune di Pozzolo Formigaro all'interno della Provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
