Morano sul Po comune,Morano sul Po comune.1
,
Morano sul Po – VedutaChiesa parrocchiale dedicata a San Giovanni Battista,Morano sul Po – VedutaChiesa parrocchiale dedicata a San Giovanni Battista
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Luca Ferrari (lista civica) dall'11-6-2017 (2º mandato dal 12-6-2022)
Territorio,Territorio
Coordinate,45°10′06″N 8°22′02″E
Altitudine,123 m s.l.m.
Superficie,"17,71 km²"
Abitanti,1 278[1] (30-11-2025)
Densità,"72,16 ab./km²"
Frazioni,"Due Sture, Pobietto"
Comuni confinanti,"Balzola, Camino, Casale Monferrato, Coniolo, Costanzana (VC), Pontestura, Trino (VC)"
Altre informazioni,Altre informazioni
Cod. postale,15025
Prefisso,0142
Fuso orario,UTC+1
Codice ISTAT,006109
Cod. catastale,F707
Targa,AL
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 820 GG[3]"
Nome abitanti,moranesi
Patrono,san Giovanni Battista
Giorno festivo,29 agosto
Cartografia,Cartografia
Morano sul Po,Morano sul Po
Morano sul Po – MappaMappa del comune di Morano sul Po all'interno della provincia di Alessandria,Morano sul Po – MappaMappa del comune di Morano sul Po all'interno della provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
