Prasco comune,Prasco comune.1
,
Prasco – VedutaVeduta,Prasco – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Claudio Pastorino (lista civica) dal 27-05-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,44°38′25″N 8°33′11″E
Altitudine,245 m s.l.m.
Superficie,"5,97 km²"
Abitanti,505[1] (30-11-2025)
Densità,"84,59 ab./km²"
Frazioni,"Stazione, Orbregno"
Comuni confinanti,"Cremolino, Morbello, Morsasco, Visone"
Altre informazioni,Altre informazioni
Cod. postale,15010
Prefisso,0144
Fuso orario,UTC+1
Codice ISTAT,006139
Cod. catastale,G987
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 591 GG[3]"
Nome abitanti,praschesi
Patrono,santi Nazario e Celso
Giorno festivo,28 luglio
Cartografia,Cartografia
Prasco,Prasco
Prasco – MappaMappa del Comune di Prasco all'interno della Provincia di Alessandria,Prasco – MappaMappa del Comune di Prasco all'interno della Provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
