Malvicino comune,Malvicino comune.1
,
Malvicino – Veduta,Malvicino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Cristina Manfrinetti (lista civica Spiga di Grano) dal 26-12-2024
Territorio,Territorio
Coordinate,44°33′37.08″N 8°24′51.12″E
Altitudine,"420 (min 240, max 586) m s.l.m."
Superficie,"9,04[1] km²"
Abitanti,79[2] (30-11-2025)
Densità,"8,74 ab./km²"
Frazioni,"Alberghina, Bric della Vite, Fonda, Gelati, Gramonda, Isola Buona, Laiazzo, Marelli, Pian Gallina, Prazzini, Pronetto, Redimuncè, Saliceto"
Comuni confinanti,"Cartosio, Montechiaro d'Acqui, Pareto, Ponzone, Spigno Monferrato"
Altre informazioni,Altre informazioni
Cod. postale,15015
Prefisso,0144
Fuso orario,UTC+1
Codice ISTAT,006090
Cod. catastale,E870
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 776 GG[4]"
Nome abitanti,malvicinesi
Patrono,san Michele
Giorno festivo,29 settembre (ultima domenica di settembre)
Cartografia,Cartografia
Malvicino,Malvicino
Malvicino – MappaMappa del Comune di Malvicino all'interno della Provincia di Alessandria,Malvicino – MappaMappa del Comune di Malvicino all'interno della Provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
