Mirabello Monferrato comune,Mirabello Monferrato comune.1
,
Mirabello Monferrato – VedutaLa chiesa parrocchiale di San Vincenzo,Mirabello Monferrato – VedutaLa chiesa parrocchiale di San Vincenzo
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Ricaldone Marco (lista civica) dal 9-6-2024
Territorio,Territorio
Coordinate,45°02′11″N 8°31′27″E
Altitudine,124 m s.l.m.
Superficie,"13,24 km²"
Abitanti,1 199[1] (30-11-2025)
Densità,"90,56 ab./km²"
Comuni confinanti,"Giarole, Lu e Cuccaro Monferrato, Occimiano, San Salvatore Monferrato, Valenza"
Altre informazioni,Altre informazioni
Cod. postale,15040
Prefisso,0142
Fuso orario,UTC+1
Codice ISTAT,006094
Cod. catastale,F232
Targa,AL
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 586 GG[3]"
Nome abitanti,mirabellesi
Patrono,san Vincenzo
Giorno festivo,22 gennaio
Cartografia,Cartografia
Mirabello Monferrato,Mirabello Monferrato
Mirabello Monferrato – MappaMappa del comune di Mirabello Monferrato all'interno della provincia di Alessandria,Mirabello Monferrato – MappaMappa del comune di Mirabello Monferrato all'interno della provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
