Murisengo Monferrato comune,Murisengo Monferrato comune.1
,
Murisengo Monferrato – VedutaVeduta,Murisengo Monferrato – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Giovanni Baroero (lista civica) dall'8-6-2009 (4º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°04′58″N 8°08′10″E
Altitudine,338 m s.l.m.
Superficie,"15,31 km²"
Abitanti,1 215[1] (30-11-2025)
Densità,"79,36 ab./km²"
Frazioni,"Bricco, Case Battia, Corteranzo, Gallo, San Candido, Sorina"
Comuni confinanti,"Montiglio Monferrato (AT), Odalengo Grande, Robella (AT), Villadeati"
Altre informazioni,Altre informazioni
Cod. postale,15020
Prefisso,0141
Fuso orario,UTC+1
Codice ISTAT,006113
Cod. catastale,F814
Targa,AL
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 766 GG[3]"
Nome abitanti,murisenghesi
Patrono,sant'Antonio abate
Giorno festivo,22 settembre
Cartografia,Cartografia
Murisengo Monferrato,Murisengo Monferrato
Murisengo Monferrato – MappaMappa del Comune di Murisengo all'interno della Provincia di Alessandria,Murisengo Monferrato – MappaMappa del Comune di Murisengo all'interno della Provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
